USER_ID:429692602 CREATED_AT:Sun Apr 22 03:49:56 +0000 2018 TEXT:RT @Iifeinword: Real depression 
is when you stop 
loving the things 
you love. LANG:en
USER_ID:757658419692208128 CREATED_AT:Sun Apr 22 03:50:01 +0000 2018 TEXT:depression LANG:en
USER_ID:14717300 CREATED_AT:Sun Apr 22 03:50:01 +0000 2018 TEXT:Something new for sale: "Beguiled" by Mike Cullen https://t.co/z7nlzLBN92 #art #sale #depression #blur #damaged https://t.co/gRZMuTTaFX LANG:en
USER_ID:3220894927 CREATED_AT:Sun Apr 22 03:50:01 +0000 2018 TEXT:RT @KingBeyonceStan: Girl we about to be sitting around the radio. The Depression Era jumped OUT. https://t.co/td1oY7lTcS LANG:en
USER_ID:2424755239 CREATED_AT:Sun Apr 22 03:50:04 +0000 2018 TEXT:RT @Fact: Not having enough sleep per day leads to a desire for sex, depression and alcoholism. LANG:en
USER_ID:702705981659226112 CREATED_AT:Sun Apr 22 03:50:07 +0000 2018 TEXT:RT @Fact: Not having enough sleep per day leads to a desire for sex, depression and alcoholism. LANG:en
USER_ID:3421044447 CREATED_AT:Sun Apr 22 03:50:07 +0000 2018 TEXT:RT @eviltorturing: ima be real honest if it werent for my horniness my depression would have killed me by now LANG:en
USER_ID:876196881055043584 CREATED_AT:Sun Apr 22 03:50:08 +0000 2018 TEXT:Fr https://t.co/H6uQx1o0bj LANG:en
USER_ID:349574535 CREATED_AT:Sun Apr 22 03:50:13 +0000 2018 TEXT:RT @KingBeyonceStan: Girl we about to be sitting around the radio. The Depression Era jumped OUT. https://t.co/td1oY7lTcS LANG:en
USER_ID:2289769795 CREATED_AT:Sun Apr 22 03:50:13 +0000 2018 TEXT:RT @theshabbasi: People bumping into their crushes and celebs all the time and I'm here bumping into stress, anxiety and depression only. LANG:en
USER_ID:4901007022 CREATED_AT:Sun Apr 22 03:50:14 +0000 2018 TEXT:hi, i have done nothing productive in weeks, &amp; my depression is worse than its literally ever been, like ever. idk what to do. LANG:en
USER_ID:367266796 CREATED_AT:Sun Apr 22 03:50:16 +0000 2018 TEXT:RT @sugarshoneys: cw: suicide, depression, anxiety

this is so important!!!! like really https://t.co/83NrZlFPSI LANG:en
USER_ID:914490686283563008 CREATED_AT:Sun Apr 22 03:50:18 +0000 2018 TEXT:RT @Fact: Not having enough sleep per day leads to a desire for sex, depression and alcoholism. LANG:en
USER_ID:4686007400 CREATED_AT:Sun Apr 22 04:01:50 +0000 2018 TEXT:suffering from chronic depression 
https://t.co/8uQUTpg4VK LANG:en
